type, orderno, description, value, qty
PRD, 4533, "Benecol Light Garlic & Herbs 200g", 3.86, 4
PRD, 6727, "Tesco Whole Orange Squash 2L", 19.89, 8
PRD, 90835, "0256480000003  ODBRED BLESS PORKLOI", 25.11, 6
PRD, 10867, "Nestle Rolo 12 Mini Muffins", 16.44, 2
PRD, 9782, "Sainsbury's Basics 10 Mild Cheese Slices 240g", 20.71, 3
PRD, 8817, "Herbal Essences Moisturising Conditioner Normal Hair 200ml", 6.58, 2
PRD, 3162, "Buitoni Express Tortigliocini 500g", 17.34, 8
PRD, 44426, "Sainsbury's raspberry brulee cheesecake", 2.94, 1
PRD, 68071, "5000204884364 Glade® Refill for Enchanting Night 20ml", 6.41, 5
PRD, 8429, "Cussons Imperial Leather Refreshing Shower Gel 500ml", 1.63, 2
PRD, 45346, "Tesco Additional Photography: 3600540686435 Garnier Nutritionist Caffeine Eye Roll-On 15ml", 6.01, 6
PRD, 4743, "Flash Power Mop Multisurface Floor Cleaner 1L", 13.22, 8
PRD, 13257, "New Nordic Apple Cider™ 600 Food Supplement 60 Tablets", 3.11, 3
PRD, 12668, "Tesco Finest Dark Chocolate & Orange Cereal Bars 168g", 17.04, 9
PRD, 10929, "Nestlé  Shredded Wheat Honey Nut 500g", 15.10, 5
PRD, 9622, "Ryvita CornCakes 120g", 14.38, 6
PRD, 78676, "01128291 Jubilee Tomatoes", 24.53, 6
PRD, 13348, "Tesco Value Cooked Ham 125g", 17.57, 9
PRD, 80846, "Sample fee charged at £5 per sample:", 22.23, 7
PRD, 3528, "Tesco Washproof Dressing Strip 1 m x 6 cm", 4.55, 7
PRD, 40656, "5025251001717 CINNAMON & FRUIT SWRIL", 8.34, 8
PRD, 7708, "Pampers Kandoo Frog Instant Foam Handwash 250ml ", 24.44, 4
PRD, 6613, "Sainsbury's 2 Chocolate Sponge Puddings 250g", 13.46, 2
PRD, 4110, "Sainsbury's Be Good To Yourself Minestrone with Vermicelli Soup in a C", 11.25, 5
PRD, 3118, "Clairol Hydrience Seashell Medium Blonde 10", 22.72, 5
PRD, 12575, "Bob Martin® Delicious Conditioning Tablets for Dogs 100", 20.47, 5
PRD, 2493, "Sainsbury's Medium Red Salmon 200g", 21.34, 9
PRD, 24247, "Virginia Harvest Shelled Hemp Seeds", 21.42, 1
PRD, 8817, "Herbal Essences Fruit Fusions Protecting Shampoo for Colour-Treated ha", 10.44, 1
PRD, 49894, "Cost of courier to send samples to Tesco Wine Club as agreed with Jane Oakley", 3.49, 3
PRD, 10895, "Tesco Healthy Living Gammon Joint 750g", 16.88, 3
PRD, 38062, "Tesco 5 Slices Roast Beef 130g", 23.85, 7
PRD, 2181, "Quaker Harvest Cheweee Apple & Raisin 132g", 2.70, 7
PRD, 35067, "5060086840995 The Food Doctor™ Multi Seed & Cereal 6 Pitta Bread", 4.15, 7
PRD, 13244, "Unknown - Brandbank Image capture", 7.76, 8
PRD, 13022, "Unknown - Brandbank Data capture Image capture", 20.70, 9
PRD, 8882, "Tesco Finest 4 Loaded Chocolate Cakes", 25.36, 4
PRD, 7074, "Boschendal Cabernet Sauvignon 75l", 24.10, 1
PRD, 3062, "Lasting Color Hair Colourant Deep Auburn Red 815R", 21.71, 6
PRD, 51982, "image manipultaion 1 @ £10", 20.51, 9
PRD, 2542, "Sainsbury's Pork and Leek Sausage Loaf (Counter)", 14.65, 5
PRD, 11212, "Cravendale Hint of Wild Strawberry 284ml", 2.51, 9
PRD, 1704, "Sainsbury's Hazelnuts 400g", 22.99, 3
PRD, 71106, "JOSE CUERVO GOLD 6X70CL (Please Confirm correct EAN on supplied Image)", 7.97, 7
PRD, 5042, "Green & Black's Organic Hot Chocolate 20g", 24.18, 2
PRD, 12562, "Tesco Healthy Living Mushroom Risotto 400g", 8.36, 6
PRD, 9316, "Sainsbury's By Phil Smith Liquid Texturiser 200ml", 7.22, 1
PRD, 3675, "Ryvita Tondo's Tangy Salsa Rice Snacks 25g", 10.70, 5
PRD, 7368, "Nestle Winter Selection Sveltesse 500g", 17.48, 6
PRD, 45822, "Asda Totally Low Fat Hazelnut 150g", 13.27, 2
PRD, 9431, "Casillero del Diablo Sauvignon Blanc 2005 75cl", 5.89, 7
PRD, 13157, "Unknown - JS New products & hosting", 18.71, 7
PRD, 12446, "Unknown - Tesco OL Image Only", 24.22, 1
PRD, 13103, "Unknown - JS New products & hosting", 21.63, 1
PRD, 5751, "Sainsbury's Protective Wood Cleaning Polish 300ml", 6.47, 9
PRD, 7347, "Banana Boat Aloe After Sun Lotion 470ml", 20.14, 3
PRD, 11946, "Fiddes Payne Madras Curry Powder 70g", 18.64, 9
PRD, 3018, "Tesco Fresh Single Cream 142ml", 21.56, 8
PRD, 11171, "Sainsbury's Original Handwash 250ml", 4.67, 5
PRD, 11602, "Sainsbury's Basics Garlic Baguette 150g", 6.41, 9
PRD, 3862, "Tesco Mild Oak Smoked Salmon Slices 200g", 16.23, 8
PRD, 47505, "Discounter Fruit Flapjack Bites", 7.58, 5
PRD, 10701, "Kettle® Chips Double Gloucester and Red Onion 150g", 12.10, 6
PRD, 13445, "Unknown - Brandbank Data capture Image capture", 8.29, 6
PRD, 21083, "5011308049023 Patak's Korma Mild Sauce 540g", 7.89, 9
PRD, 9786, "Quorn 8 Surprisingly Tempting Goujons 240g", 10.62, 9
PRD, 5634, "Bendicks Mingles 260g", 10.98, 6
PRD, 13632, "Unknown - Brandbank Data capture Image capture", 16.64, 5
PRD, 88850, "5015715427399  Fresh for a Week White 800g -  sample purchase fee", 4.00, 7
PRD, 9526, "Lotus Freshness 4 Rolls", 16.58, 7
PRD, 28502, "So Natural Beige", 14.92, 3
PRD, 6122, "Spontex Natura 2 Cellulose Sponge Cloths", 17.42, 4
PRD, 2876, "Brown Sliced Loaf 400g", 8.69, 6
PRD, 9186, "Sainsbury's Clear Adhesive Tape approx 24mm x 60m", 14.47, 4
PRD, 2394, "Thierry and Gut Fat Bastard Chardonnay 2001 750ml", 19.63, 3
PRD, 4397, "L'OREAL KIDS    TANGLE TAMER    SPRAY 200ML", 6.12, 2
PRD, 6803, "Asda Garden Peas 145g", 21.97, 2
PRD, 52089, "46 Mixed Case Generic Group Shots 12/01/09 - 2.5 Days Studio Time @ £500 per day", 10.53, 9
PRD, 9450, "Batchelors Cup a Soup Creamy Broccoli & Cauliflower", 16.94, 1
PRD, 6280, "Sainsbury's 3 Ply Ultrasoft Mansize Banded", 2.72, 6
PRD, 11587, "Vacu Vin Innovations 2 Vacuum Stoppers", 14.27, 2
PRD, 76280, "0079181774826 Nailene So Natural Short Square Shape Pink 36 Nails/Upgrade", 11.05, 4
PRD, 6865, "Schwarzkopf Live Ice Blonde Color XXL", 24.06, 5
PRD, 10614, "Bahlsen Pick Up! 5 x 28g", 14.76, 4
PRD, 28294, "Vina Pilar 2004 Crianza (EAN to be confirmed from sample)", 12.01, 2
PRD, 11234, "Tesco Tomato Ketchup 470g", 12.10, 3
PRD, 1239, "Sainsbury's Tarte aux Abricots 460g", 10.67, 2
PRD, 6803, "Asda Maris Peer Potatoes 300g", 5.56, 5
PRD, 1532, "Sainsbury's Aromatherapy Sensual Bath Essence Ylang Ylang/Nutmeg Oil 2", 7.18, 4
PRD, 6720, "Sainsbury's Jungle Jellies 150g", 2.28, 5
PRD, 2945, "Sainsbury's Low Price Full Flavour Coloured Cheddar", 17.57, 8
PRD, 13636, "Unknown - Brandbank Image capture", 15.45, 3
PRD, 4098, "L'Oreal Elvive Revitalising Shampoo Coloured or Highlighted Hair 300ml", 10.04, 7
PRD, 3018, "Tesco Pasteurised Whole Milk 3.408ltr/6 Pints", 22.06, 5
PRD, 7461, "Pantene Pro-V Shampoo Perfect Curls 400ml", 21.67, 6
PRD, 13103, "Unknown - JS New products & hosting", 11.21, 6
PRD, 5662, "Brylcreem Modelling Gel 150ml", 22.85, 9
PRD, 12795, "Tesco Strawberry Fromage Frais in Pouches 360g", 16.74, 2
PRD, 1085, "Armitage Good Boy Pet Food Can Covers x4", 16.99, 1
PRD, 29676, "Rosemount Diamond Label Sauvignon Blanc 2006", 22.14, 1
PRD, 73396, "RENEWAL / REBATE FEE 5060043660062 The Oakleaf Brewing Co Heart of Oak 500ml", 20.92, 2
PRD, 13144, "Supercook Alphabet Icing", 5.97, 5
PRD, 2392, "Carte D'Or Fruit & Fresh Yellow Fruit 450ml", 4.56, 8
PRD, 45563, "5019827199762             Denhay West Country Dry Cured Streaky Smoked Bacon 200g", 5.39, 7
PRD, 8381, "Tesco Leeks", 20.44, 8
PRD, 5011, "Braun Gcs70 Style & Go Tong & Brush", 19.40, 7
PRD, 2102, "Glade Circul'air Refill Secrets of the Orient 20ml", 24.09, 2
PRD, 12017, "Sharwood's Naan Bread Mix 325g", 7.39, 7
PRD, 10819, "Tesco Healthy Living 6 Mini Naan Breads x2", 5.08, 7
PRD, 12491, "Tesco Finest Free Range Corn Fed Legs 832g-1280g", 10.38, 4
PRD, 3380, "Sainsbury's Cotton Rich Socks 6-8½ Black 3 Pairs", 2.88, 7
PRD, 12190, "Tesco Antiseptic Lozenges Lemon Flavour X 24", 10.41, 9
PRD, 4010, "Tesco 6 Bramley Apple Pies", 3.29, 6
PRD, 5111, "Toilet Duck Lavender Secrets ", 9.01, 6
PRD, 9782, "Sainsbury's Cheshire 300g", 22.37, 1
PRD, 12577, "Sainsbury's French Mayonnaise 750ml", 16.13, 2
PRD, 13146, "Sainsbury's Apple & Mint Conditioner 750ml", 4.05, 6
PRD, 7726, "Louis Jadot Bourgogne Chardonnay 75cl", 14.13, 4
PRD, 1735, "The Little Big Food Co. Organic Whole Green Beans 500g", 17.70, 1
PRD, 76198, "5099860001628 MUCKIAN EGGS LARGE 6PK", 21.20, 6
PRD, 10996, "Tesco Classic Coffee 300g", 5.29, 3
PRD, 5322, "Skin Wisdom Plumping Lip Gloss 15ml", 15.73, 2
PRD, 88362, "Image reinstatement fee - 7612367014069 MEDELA MEDIUM FLOW TEATS X2", 8.16, 1
PRD, 3262, "Sainsbury's Taste the Difference Mull of Kintyre Cheddar Extra Mature ", 3.81, 5
PRD, 8824, "Wella Silvikrin Conditioned Hairspray 300ml", 8.77, 6
PRD, 41198, "0000001447965 TTD Breaded Yorkshire Ham", 18.17, 4
PRD, 20100, "Crosse & Blackwell Snack Stop Noodles Spicy Sweet n Sour 100g", 14.63, 9
PRD, 7211, "Asda Moisturising #Vegetable Soap Waterlily and Aloe 125g", 13.99, 9
PRD, 20076, "Tesco New Zealand Dry White Wine 75cl", 9.56, 2
PRD, 20189, "Boots Chamomilla 6c", 3.68, 7
PRD, 1263, "Sainsbury's Thin & Crispy Pizza Four Cheese 285g", 6.97, 3
PRD, 45241, "8410396880131 Berberana Vina Canda Rosado 750ml", 12.06, 9
PRD, 3666, "Tesco Finest Chicken Tomato & Basil Sandwich", 17.47, 9
PRD, 71581, "5060146370073 Moma Oatie Breakfast - Strawberry & Banana - angled ID shot", 24.32, 4
PRD, 68909, "Sample Collection fee", 8.47, 2
PRD, 13136, "Unknown - Brandbank Image capture", 17.51, 9
PRD, 7712, "Cadbury Crunchie Egg Std 195g", 24.06, 4
PRD, 72933, "PD MERLE SAUVIGNON BLANC 6X75CL", 20.72, 5
PRD, 13453, "Birdy Eye 2 Whole Chicken Breast Kievs Hand Filled With Aromatic Garli", 21.92, 2
PRD, 11919, "Unknown - Tesco OL Image Only", 13.95, 3
PRD, 2720, "Sainsbury's Freshly Squeezed Orange Juice 1 Litre", 1.65, 8
PRD, 12702, "Unknown - JS New products & hosting", 8.19, 7
PRD, 1538, "Sainsbury's Fresh Aqua Deodorant Soap 4 x 125g Bars", 16.95, 4
PRD, 20111, "Dairytime Organic Semi Skimmed Milk 1 Litre", 1.68, 4
PRD, 7684, "Scooby-Doo! Mega Lucky Egg ", 23.01, 5
PRD, 6803, "Asda Thick Country Vegetable Soup 400g", 18.87, 2
PRD, 6751, "Bacardi & Coke Glass Gift Set ", 1.57, 6
PRD, 23756, "testProduct220", 15.95, 4
PRD, 12629, "Sainsbury's Scout's Mixer 4kg", 19.88, 5
PRD, 12737, "Brace's Wholemeal Medium Bread 800g", 10.66, 1
PRD, 58009, "EIRPET WILDBIRD PEANUTS 1 KG BAG (23739)", 8.47, 3
PRD, 26062, "Tideford Organic Spinach with Lemon Grass Soup", 8.16, 6
PRD, 12632, "Sainsbury's Extra Light Mayonnaise 455ml", 4.43, 2
PRD, 3262, "Sainsbury's Scottish Cheddar Mature Coloured Approx. 250g", 18.53, 4
PRD, 63238, "5050854765964 Wiltshire Smoked Thick Cut Back Bacon", 5.54, 2
PRD, 3733, "Skin Wisdom Tinted Moisturiser 75ml", 15.48, 8
PRD, 10880, "Lindt Bunny Nest 194g", 21.68, 1
PRD, 11162, "Lyddie's 8 French Crepes 260g", 7.68, 3
PRD, 29067, "410g Del Monte Sun Ripened Pineapple", 5.69, 6
PRD, 7408, "Amoy Soy Sauce Dark 250ml", 3.73, 4
PRD, 4495, "Sainsbury's Be Good To Yourself Korma Cooking Sauce 500g", 24.48, 1
PRD, 9903, "Cadbury Dairy Milk Orange Chips Ice Cream 4 x 60ml", 8.67, 2
PRD, 12032, "Tesco Smoked Gammon Joint 750g", 13.47, 7
PRD, 5471, "Schwartz Mediterranean Sea Salt 125g", 19.90, 9
PRD, 89259, "8711500014276 B35 40W 240V B22 CL SRP 2CT/10", 22.25, 3
PRD, 8140, "Sainsbury s Flat Beans 250g", 5.38, 4
PRD, 10505, "Astral Original All Over Moisturiser 500ml", 7.45, 4
PRD, 7353, "Jordans Country Crisp Absolutely Apricot! 500g", 11.37, 1
PRD, 3847, "Sainsbury's Orange Squash 3 litres", 4.39, 9
PRD, 21236, "Manipulation cost at £10 per product for 5 products", 18.75, 3
PRD, 12396, "Unknown - JS New products & hosting", 12.15, 2
PRD, 7561, "Amoy Straight to Wok Perfect Long Grain Rice 250g", 1.37, 8
PRD, 12513, "Tesco Hi Juice Pink Grapefruit Squash 1l", 13.30, 5
PRD, 68681, "27392805 Asda Hero Adult Big Fillers with Beef 150g", 8.88, 6
PRD, 11382, "WeightWatchers Cooked Ham 100g", 18.00, 7
PRD, 66949, "product move 01496871  Sainsbury's Basics Apple Pie 400g", 1.72, 4
PRD, 49703, "5010084109761 Jus-Rol Puff Pastry Block 1.5kg", 25.28, 9
PRD, 22895, "5019989100880 McDougalls Self Raising Flour PMP 59p", 20.86, 4
PRD, 58150, "01628890    Sainsbury's Be Good to Yourself British Cooked Ham 100g", 14.38, 7
PRD, 4288, "UniBond Wall Tile Adhesive & Grout Economy Size", 11.64, 2
PRD, 5265, "Earl Grey & Vanilla 4 x 50 x 2.5g", 12.57, 8
PRD, 4126, "Loue Traditional Free Range Maize Fed Chicken", 22.05, 7
PRD, 88968, "Renewal for 2011 to include 235 Products", 22.14, 6
PRD, 39583, "Green Giant Soup Country Garden Vegetable", 22.29, 7
PRD, 7893, "Winalot Puppy Chunks in Jelly Mixed Variety Pack 3 x 400g", 1.96, 4
PRD, 9737, "Schwarzkopf Pro Styling Power gel Extreme 300ml", 21.99, 4
PRD, 9653, "Sainsbury's SO Organic Brazil Nuts 200g", 10.09, 7
PRD, 68071, "5000204882247 Glade® Vanilla & White Blossom Refill 20ml", 17.78, 8
PRD, 3122, "Water Shine Diamonds Liquid 5ml", 2.42, 7
PRD, 11284, "Cavka 16 Cocktail Blinis 135g", 24.26, 5
PRD, 3347, "Sainsbury's Beef Platter Meal 400g", 20.13, 8
PRD, 10324, "Tesco Anti Bacterial Wipes 40 Sheets", 12.75, 1
PRD, 7366, "Haagen-Dazs Cream Crisp Vanilla 66ml", 6.21, 5
PRD, 9120, "Warburtons Fruit Loaf with Orange 400g", 21.35, 8
PRD, 4117, "Nestle Rolo", 13.64, 8
PRD, 4692, "Tesco Senior Dog Food 3x400g", 5.75, 5
PRD, 9764, "Tia Maria 70CL", 24.92, 6
PRD, 7815, "Nelsons Arsen. Alb. 30c", 18.89, 5
PRD, 13673, "Rachael Hale Cindy Lunchbag", 24.72, 5
PRD, 2774, "Scottish Slimmers Cheese Crunch", 14.46, 9
PRD, 6876, "Doritos 6 Pack", 25.67, 3
PRD, 7222, " PEDIGREE SCHMACKOS DOG TREATS MEAT PACKET 20  ", 4.85, 4
PRD, 3147, "Tesco Peppered Steak with Potato Gratin 450g", 20.83, 4
PRD, 9885, "Fairy Mild Green Household Soap 310g", 2.31, 2
PRD, 22984, "TOL Garden Peas", 23.44, 5
PRD, 6803, "Asda Instant Chocolate Flavour Drink 400g", 21.56, 3
PRD, 10093, "Tesco Healthy Living American Hot Pepper Chicken & Hash 450g", 1.70, 7
PRD, 77233, "5051413878712 Treat Bag 713g", 6.70, 2
PRD, 1427, "Iams Catfood Light 1+ Chicken 300g", 14.96, 8
PRD, 12802, "Charles Worthington Results Moisture-Seal Blow-Dry Spray 200ml", 22.99, 7
PRD, 4425, "Cauldron 5 Honey-Roasted Pepper & Dijon Mustard Sausages 250g", 7.96, 5
PRD, 7443, "Tesco Finest Fresh Fruit Orange Marmalade 340g", 21.58, 8
PRD, 11081, "Doctor Who Celebration Cake", 24.20, 4
PRD, 7225, "SEEDS OF CHANGE TAGLIATELLE PASTA PACKET 500G", 16.85, 3
PRD, 4692, "Tesco Meat in Jelly 6x400g", 4.82, 6
PRD, 47506, "5060045381101 Creamy Butternut Squash 600g", 2.10, 2
PRD, 9030, "Sainsbury's Taste the Difference Fresh West Country Free Range Chicken", 18.99, 4
PRD, 33424, "HL Feta and couscous salad", 20.61, 3
PRD, 12953, "Sainsbury's Basics Sliced Carrots 300g", 14.75, 5
PRD, 13184, "Sainsbury's 12 Smoked Rashers Streaky Bacon 250g", 4.01, 9
PRD, 1943, "Spice Route Cabernet Sauvignon Merlot 2000 750ml", 22.22, 6
PRD, 12802, "Charles Worthington CWStyle.Com Mess-It-Up Paste 100ml", 11.59, 9
PRD, 9574, "Tesco Chicken Korma & Rice 450g", 7.60, 4
PRD, 7600, "Garofolo Mozzarella di Bufala 125g", 7.51, 4
PRD, 44560, "McD Plain Flour 12.5kg", 18.35, 4
PRD, 2055, "Weleda Children's Tooth Gel 50ml", 12.53, 3
PRD, 12073, "Tesco Barbecue 5 Marinated Beef Steaks 310g", 16.56, 3
PRD, 7514, "Clairol Herbal Essences Fearless Colour XL2 Nude Crystal Extra Light B", 9.22, 3
PRD, 3494, "Sainsbury's French Green Olive Tapenade 190g", 22.68, 7
PRD, 22420, "Mates Natural", 5.90, 7
PRD, 3016, "Tesco Piesporter Michelsberg 75cl", 16.18, 2
PRD, 12696, "Tesco Jambalaya 500g", 10.45, 7
PRD, 13242, "Baileys® Irish Cream Truffle Bar 100g", 18.43, 9
PRD, 72447, "5010487957709 GLADE CANDLES ENCHANTING 2X120G", 2.55, 5
PRD, 12555, "KTC Coconut Oil 500ml", 23.80, 3
PRD, 4296, "Tesco Value Cheese Spread Tub 150g", 4.62, 1
PRD, 1473, "Sainsbury's Minced Beef Hotpot 300g", 16.99, 4
PRD, 76153, "5030305106980 The Gruffalo", 23.98, 2
PRD, 4649, "Babylicious Chicken Casserole 250g", 2.47, 8
PRD, 12039, "Unknown - ASDA Own Label Data and Image Capture", 13.78, 7
PRD, 10228, "Iams Kitten & Junior 0-1 3kg", 11.65, 7
PRD, 11269, "All Good Stuff Pure Ginger 120g", 20.80, 7
PRD, 68071, "5000204526165 Glade® Glistening Snow Candle", 7.65, 9
PRD, 6751, "Anthony Worrell Thompson 'Cafe Culture'", 13.97, 9
PRD, 3352, "Tesco Straight Cut Micro Chips 4 x 100g", 9.02, 1
PRD, 45683, "Image Manipulation  5000246000524 Bladen Mozzarella Grated 1kg", 14.86, 2
PRD, 6173, "Typhoo Decaffeinated 200 Round Teabags", 3.22, 2
PRD, 72760, "SAINSBURYS Individual Mandarin Jelly – 0000001676785 Allergy change", 13.40, 3
PRD, 3475, "Findus Macaroni Beef Bolognese 350g", 12.47, 5
PRD, 2849, "Sainsbury's Scotch Broth 400g", 11.89, 5
PRD, 5662, "Kiwi Suede & Nubuck Colour Restorer Black", 17.57, 9
PRD, 12161, "L'Oreal Paris Elvive Nutri-Gloss Shampoo 400ml + Conditioner 250ml", 15.93, 4
PRD, 44077, "Red Bull Simply Cola 4 x 355ml", 12.45, 1
PRD, 3161, "Coffeemate Virtually Fat Free 500g", 10.72, 5
PRD, 8466, "Tesco Bug Killer Spray 750ml", 22.22, 1
PRD, 71291, "5010038048238 Carling C2 4 x 300ml (2.0%)", 2.95, 7
PRD, 5720, "Rivercrest White Zinfandel", 22.67, 9
PRD, 7132, "Gillette® SensorExcel® - 5 refill cartridges", 16.59, 6
PRD, 24046, "Unknown Wilko Order64", 2.11, 9
PRD, 13503, "Tesco Strawberry Dessert Sauce 300g", 11.70, 3
PRD, 25227, "TOL Watercres Salad 85g", 10.47, 8
PRD, 11971, "Tesco Healthy Living British Semi-Skimmed Milk UHT 1l", 18.12, 6
PRD, 7196, "Sainsbury's Taste the Difference Traditionally Sliced Runner Beans 200", 23.36, 2
PRD, 11679, "Bodum Mug & Tea Infuser", 15.19, 3
PRD, 46987, "Tesco Plain 500g", 16.09, 9
PRD, 10327, "Sony® 8cm DVD-RW x 2", 19.86, 5
PRD, 11158, "Sainsbury's Beef Sirloin Steak", 9.24, 3
PRD, 8624, "Butcher's Choice Fresh Chicken With Turkey & Garden Vegetables 800g", 10.56, 6
PRD, 20100, "Mug Shot Pasta Snack Tomato & Herb  64g", 10.35, 8
PRD, 42834, "Sainsbury’s Beacon Branding - Cola End Aisle", 24.14, 5
PRD, 24046, "Unknown Wilko Order311", 3.54, 1
PRD, 12916, "Tesco Ready to Eat Prawn & Crayfish Salad 600g", 5.49, 6
PRD, 61880, "5019503015355 Quorn Hot Pot 400g", 8.99, 7
PRD, 9797, "Sainsbury's Fruit Pastilles 250g", 7.51, 5
PRD, 58474, "Asda British Pork & Tomato 454g", 18.43, 1
PRD, 46601, "3236240070313 Paysan Breton Luxury Creamy Cheese 150g", 23.45, 8
PRD, 12045, "Iams Catfood Adult 1+ With Ocean Fish 300g", 25.60, 8
PRD, 9804, "Sainsbury's Be Good To Yourself Raspberry & Chocolate Trifles 375g", 8.28, 1
PRD, 4030, "Walkers Sensations Oven Roasted Chicken and Thyme 150g", 20.12, 8
PRD, 76154, "5060052418982 The Imaginarium Of Doctor Parnassus", 21.27, 6
PRD, 3798, "Golden Wonder Multipack 10 x Cheese & Onion 10x25g", 23.21, 1
PRD, 21174, "Mateus Tempranillo 75cl", 22.60, 2
PRD, 77135, "8000920576700 Cornetto Classico 125ml", 14.37, 5
PRD, 63099, "5011037432950 Mitchelstown Medium White Cheddar Cheese 200g", 5.23, 2
PRD, 13328, "Unknown - Tesco OL Image Only", 21.91, 5
PRD, 34041, "To supply 60 shots @ £10 each in respect of 'Job 27 - Janet Raeger'", 19.82, 9
PRD, 7216, "GALAXY ICE CREAM BAR DREAMY CARAMEL WRAPPED IN BOX 54 ML X 4 NEW", 9.42, 4
PRD, 8161, "Sainsbury's Taste The Difference Pot Au Chocolat 100g", 10.56, 8
PRD, 89144, "01371932 Sainsbury's Oriental Snack Selection 290g  - Sample purchase fee", 20.93, 7
PRD, 4900, "Nivea Deodorant Fresh Deo Compact 20ml", 17.13, 7
PRD, 3005, "Tesco Cava Brut 6 x 75cl", 15.59, 7
PRD, 78460, "Shopping fee:", 17.74, 4
PRD, 9564, "Tesco 2 Prime Venison Steaks", 5.38, 5
PRD, 1780, "Sainsbury's Traditional Sirloin Steak x2", 11.83, 8
PRD, 11473, "Haribo Pontefract Cakes 200g", 17.35, 5
PRD, 2699, "Sanex Dermo-sensitive Anti-Perspirant Deodorant 50ml", 6.91, 3
PRD, 29364, "Oat Crunchies Orange & Choc 200g", 19.38, 5
PRD, 13144, "Supercook White Marshmallows 200g", 24.94, 7
PRD, 12873, "Pantene Pro-V Blonde Expressions Treatment 150ml", 16.33, 2
PRD, 20677, "Nepenthe TRYST Sauvignon Blanc Semillon 75 cl", 8.92, 9
PRD, 9546, "Sainsbury's SO Organic Oatflake & Honey Cookies 150g", 15.42, 4
PRD, 69270, "5052004567480     Spray carnation bouquet retail", 8.68, 5
PRD, 12012, "Kettle Chips Sea Salt with Crushed Black Peppercorns 300g", 4.97, 9
PRD, 74278, "Product Upgrade 7615400743452  Lifeguard 3 Way Toilet Cleaner 1ltr", 20.81, 2
PRD, 9718, "Sainsbury's Freshly Frozen Chicken Extra Large 2.8kg", 2.88, 3
PRD, 24240, "Bold Spa Minerals 2.5L", 18.53, 8
PRD, 5047, "Solero Shots Tropical Wave 80g", 14.16, 6
PRD, 2281, "Birds Eye 4 Chicken Pies 620g", 7.98, 7
PRD, 5556, "Original Source Mint and Tea Tree Essential Oils Anti-Perspirant Deodo", 3.92, 7
PRD, 7132, "Duracell® Plus 9V", 11.18, 2
PRD, 12066, "Blue Dragon Thai Sweet Chilli Dipping Sauce With Kaffir Lime 190ml", 8.54, 4
PRD, 5324, "L'Oreal Paris Solar Sun Protection Spray 150ml", 20.96, 5
PRD, 28732, "9300727004741 JC Reserve Chardonnay", 13.39, 8
PRD, 12385, "Nestle Cerelac Wheat & Milk Cereal 400g", 16.87, 4
PRD, 3742, "Palmolive Aroma Therapy Anti-Stress Shower Mousse 200ml", 10.83, 6
PRD, 7537, "Bernard Matthews Premium Tikka Chicken Breast 140g", 14.83, 7
PRD, 48137, "Administration fee for purchasing of samples", 8.24, 4
PRD, 3848, "Tesco Finest 2 Paris Brest 154g", 20.93, 5
PRD, 46206, "Marston's Owd Rodger", 1.31, 6
PRD, 4614, "Sainsbury's Just Cook Chicken Fajitas 400g", 7.97, 3
PRD, 23353, "Tesco Finest To Cook 2 Chicken Escalopes with Parmesan & Basil Crumb", 12.67, 1
PRD, 73079, "5060204240614  Hale and Hearty Flapjacks Additional Images", 10.83, 8
PRD, 1125, "Cantine Pellegrino Marsala Superiore Garibaldi Dolce 37.5cl", 14.21, 4
PRD, 9595, "Fruvo Natural Energy Bars Immune Boost 3 Bars", 18.95, 6
PRD, 13611, "New Tree Milk Chocolate Spread 250g", 19.51, 7
PRD, 12356, "Rankin Selection Cinnamon & Raisin Loaf 400g", 8.23, 5
PRD, 10946, "Asda Natural Beetroot 500g", 22.04, 5
PRD, 6423, "New Covent Garden Food Co. Parsnip & Bramley Apple Soup 600g", 12.38, 6
PRD, 40133, "Product upgrade for 8000254003811 Casa Mia Fiano", 24.25, 5
PRD, 85538, "9414024521068 Montana Marlborough Riesling 75cl", 19.51, 5
PRD, 6543, "Marques De Murrieta YGAY Gran Reserva 1996 75cl", 3.69, 7
PRD, 6883, "Faustino V White Crianza 75cl", 15.03, 6
PRD, 3748, "Country Life Spreadable 250g", 7.42, 2
PRD, 7232, "BISC& BOUNTY CHOCOLATE BISCUIT PACKET 153.6 G 6", 1.11, 5
PRD, 24046, "Unknown Wilko Order411", 16.34, 3
PRD, 10347, "Wrigley's Orbit Spearmint 7 Sticks", 5.85, 6
PRD, 23756, "testProduct154", 6.89, 9
PRD, 12784, "Sainsbury's Basics Celery ", 6.78, 9
PRD, 10777, "Aunty's Banoffee Traditional Steamed Puddings 220g", 18.72, 9
PRD, 11982, "Winnie the Pooh 8 Plastic Cups", 6.24, 4
PRD, 10984, "Nivea Visage Sensitive Relaxing Night Cream 50ml", 16.26, 8
PRD, 3130, "Sainsbury's Smoked Salmon & Spinach Cannelloni 450g", 25.35, 5
PRD, 20433, "00363501 Sainsbury Mixed Salad 200g", 10.64, 5
PRD, 44560, "McD Orange Jelly Crystals 3.5kg", 8.06, 5
PRD, 80773, "Maximum Growth 0074170262421  - PRODUCT UPGRADE FROM OCOT009 TO ACOT002", 20.64, 2
PRD, 63927, "Dark chocolate easter egg with pink decoration", 8.40, 1
